No. Drawing ,Trench No.,Layer,Piece,Clay Paste,Colour of Wash/Slip,Wash/Slip,Position of Wash/Slip,Chamotte,Inside Quality,Outside Quality,Firing Rate,Rate of Saftly,Inside Painting,Painting Pattern,Colour of Painting,Outside Painting,Painting Pattern,Colour of Painting,Inside Engraving,Outside Engraving,Engraving Pattern,Drawing/Shape,Comparable Site,Phase/Period,Reference 
1a,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale, 1997, P: 102, Fig: 116, NO: 1 "
1b,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Mundigak (AF),PeriodIV3 ,"Casal, 1961, Fig: 94, NO:427 "
1c,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Tepe Yahya,Period IVB3 ,"Potts, 2001, P: 151, Fig: 5.9, NO: C "
1d,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Miri Qalat (P),Period IIIC ,"Didier, 2007, P: 25, Fig: 9, NO: 3 "
2a,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Good,,,,,,,,,,Shape,Bampur,Bampur IV2 ,"De cardi, 1970, P: 317, Fig: 43, NO: 469 "
2b,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Good,,,,,,,,,,Shape,Miri Qalat (P),Period IIIC ,"Didier, 2007, P: 185, Fig: 174, NO: 108 "
3,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale, 1997, P: 148, Fig: 196, NO: 4 "
4,S.T.1,S.U 1,Rim,Red,Red,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale, 1997, P: 148, Fig: 196, NO: 4 "
5,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale, 1997, P: 147, Fig: 194, NO: 4 "
6,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Very Fine,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale, 1997, P: 149, Fig: 198, NO: 5 "
7,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B ,"Salvatori, Vidale, 1997, P: 130, Fig: 170, NO: 4 "
8,S.T.1,S.U 1,Rim,Buff,Buff,Slip,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Bad,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale, 1997, P: 149, Fig: 198, NO: 5 "
9,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Good,,,,,,,,Outside,Geometric,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale, 1997, P: 148, Fig: 197, NO: 1 "
10,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Bad,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale, 1997, P: 148, Fig: 196, NO: 2 "
11,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B ,"Salvatori, Vidale, 1997, P: 135, Fig: 180, NO: 2 "
12,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Very Fine,Medium,Medium,Deficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale, 1997, P: 115, Fig: 143, NO: 1 "
13,S.T.1,S.U 1,Rim,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B ,"Salvatori, Vidale, 1997, P: 130, Fig: 170, NO: 4 "
14,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B ,"Salvatori, Vidale, 1997, P: 130, Fig: 170, NO: 4 "
15,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Good,Inside,Geometric,Brown,,,,,,,Shape,Mundigak (AF),Period: IV2 ,"Casal, 1961, Fig: 92, No: 399 "
16,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Coarse,Coarse,sufficient,Bad,,,,,,,,,,,,,
17,S.T.1,S.U 1,Rim,Dark Red,Buff,Wash,Inside/Outside,Fine,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale, 1997, P: 150, Fig: 201, NO: 2 "
18,S.T.1,S.U 1,Rim,Red,Red,Wash,Inside/Outside,Fine,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6 ,"Salvatori, Vidale, 1997, P: 102, Fig: 116, NO: 1 "
19,S.T.1,S.U 1,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale, 1997, P: 149, Fig: 199, NO: 5 "
